1825	220277
1828	236830
1831	248682
1834	265122
1837	283722
1840	330230
1843	353149
1846	408502
1849	423902
1852	438958
1855	447483
1858	458637
1861	547571
1864	632749
1867	702437
1871	826341
1875	966858
1876	980194
1877	1008566
1880	1122330
1885	1315287
1890	1578794
1895	1677304
1898	1820000
1900	1888848
1901	1893941
1902	1911628
1903	1946076
1904	1988742
1905	2040148
1906	2073521
1907	2076437
1908	2057274
1909	2057610
1910	2071257
1911	2084045
1912	2095030
1913	2079156
1914	1945684
1915	1835094
1916	1771491
1917	1744085
1918	1748000
1919	1928432
